game_id;game_date;league_id;league_name;league_season;teams_home_id;teams_home_name;teams_away_id;teams_away_name;score_ht_home;score_ft_home;score_ht_away;score_ft_away
871470;2022-08-06 15:00:00+00:00;61;Ligue 1;2022;95;Strasbourg;91;Monaco;0.0;1.0;1.0;2.0
871471;2022-08-07 15:05:00+00:00;61;Ligue 1;2022;94;Rennes;97;Lorient;0.0;0.0;0.0;1.0
871472;2022-08-06 19:00:00+00:00;61;Ligue 1;2022;99;Clermont Foot;85;Paris Saint Germain;0.0;0.0;3.0;5.0
871473;2022-08-07 11:00:00+00:00;61;Ligue 1;2022;96;Toulouse;84;Nice;1.0;1.0;0.0;1.0
871474;2022-08-05 19:00:00+00:00;61;Ligue 1;2022;80;Lyon;98;Ajaccio;2.0;2.0;1.0;1.0
871475;2022-08-07 13:00:00+00:00;61;Ligue 1;2022;79;Lille;108;Auxerre;3.0;4.0;0.0;1.0
871476;2022-08-07 13:00:00+00:00;61;Ligue 1;2022;77;Angers;83;Nantes;0.0;0.0;0.0;0.0
871477;2022-08-07 13:00:00+00:00;61;Ligue 1;2022;82;Montpellier;110;Estac Troyes;2.0;3.0;2.0;2.0
871478;2022-08-07 18:45:00+00:00;61;Ligue 1;2022;81;Marseille;93;Reims;2.0;4.0;0.0;1.0
871479;2022-08-07 13:00:00+00:00;61;Ligue 1;2022;116;Lens;106;Stade Brestois 29;1.0;3.0;0.0;2.0
871480;2022-08-14 13:00:00+00:00;61;Ligue 1;2022;98;Ajaccio;116;Lens;0.0;0.0;0.0;0.0
871481;2022-08-14 13:00:00+00:00;61;Ligue 1;2022;108;Auxerre;77;Angers;2.0;2.0;1.0;2.0
871482;2022-08-13 15:00:00+00:00;61;Ligue 1;2022;91;Monaco;94;Rennes;0.0;1.0;0.0;1.0
871483;2022-09-07 17:00:00+00:00;61;Ligue 1;2022;97;Lorient;80;Lyon;2.0;3.0;1.0;1.0
871484;2022-08-12 19:00:00+00:00;61;Ligue 1;2022;83;Nantes;79;Lille;1.0;1.0;0.0;1.0
871485;2022-08-14 15:05:00+00:00;61;Ligue 1;2022;84;Nice;95;Strasbourg;1.0;1.0;0.0;1.0
871486;2022-08-13 19:00:00+00:00;61;Ligue 1;2022;85;Paris Saint Germain;82;Montpellier;2.0;5.0;0.0;2.0
871487;2022-08-14 18:45:00+00:00;61;Ligue 1;2022;106;Stade Brestois 29;81;Marseille;0.0;1.0;1.0;1.0
871488;2022-08-14 13:00:00+00:00;61;Ligue 1;2022;93;Reims;99;Clermont Foot;2.0;2.0;0.0;4.0
871489;2022-08-14 13:00:00+00:00;61;Ligue 1;2022;110;Estac Troyes;96;Toulouse;0.0;0.0;1.0;3.0
871490;2022-08-20 15:00:00+00:00;61;Ligue 1;2022;91;Monaco;116;Lens;1.0;1.0;2.0;4.0
871491;2022-08-21 13:00:00+00:00;61;Ligue 1;2022;77;Angers;106;Stade Brestois 29;0.0;1.0;2.0;3.0
871492;2022-08-21 13:00:00+00:00;61;Ligue 1;2022;99;Clermont Foot;84;Nice;1.0;1.0;0.0;0.0
871493;2022-08-21 18:45:00+00:00;61;Ligue 1;2022;79;Lille;85;Paris Saint Germain;0.0;1.0;4.0;7.0
871494;2022-08-21 13:00:00+00:00;61;Ligue 1;2022;82;Montpellier;108;Auxerre;1.0;1.0;0.0;2.0
